ip,bytes_sent,bytes_recv,bytes_total
140.82.113.5,8796,3683,12479
52.203.188.22,452251,1635558,2087809
151.101.65.229,63249,4343,67592
140.82.113.6,14844,7259,22103
17.32.194.34,26818,5365,32183
198.169.1.193,89090,25529,114619
17.248.199.70,94919,41320,136239
17.248.199.71,165799,83351,249150
142.251.33.182,1000923,61301,1062224
185.199.108.133,742102,74093,816195
3.161.213.106,47003,10997,58000
104.18.161.117,1951684,54321,2006005
52.111.236.23,54847,2802,57649
fe80::b0b4:9e6f:9d4e:ad28,960,0,960
35.183.161.74,23574,135081,158655
192.168.2.68,162.159.136.232,1120,0,1120
17.253.3.132,199535,99990,299525
17.253.3.133,119639,7416,127055
17.253.3.134,5047470,97295,5144765
17.253.3.136,22007,5407,27414
17.253.3.137,86409,30915,117324
17.253.3.138,1570244,17849,1588093
0.0.0.0,17973,0,17973
17.253.3.139,24708,9221,33929
151.101.193.91,13306,2368,15674
54.192.51.60,28213,4031,32244
216.150.1.1,7576,4194,11770
104.21.112.1,254931,107047,361978
17.56.138.35,12056,16435,28491
18.208.88.157,2591461,37869,2629330
3.161.213.118,28671,2654,31325
20.190.157.4,117830,29069,146899
172.64.153.110,39450,11515,50965
23.60.177.14,43817,6530,50347
34.160.90.233,25254,8927,34181
17.253.3.140,13234,3827,17061
17.253.3.141,30931,7447,38378
17.253.3.142,6705,1827,8532
17.253.3.143,15658,3982,19640
17.253.3.144,139173,17049,156222
18.238.80.81,8805,4980,13785
17.253.3.145,28553,9413,37966
17.253.3.146,28244,7522,35766
31.13.80.12,354981,17257,372238
17.248.202.7,529311,219286,748597
185.199.108.154,169219,13968,183187
3.161.213.127,17120,6399,23519
172.67.70.191,1715107,41383,1756490
3.33.186.135,247697,18169,265866
151.101.139.6,277481,35833,313314
40.100.162.178,8975,6274,15249
52.54.48.130,1088762,14892709,15981471
151.101.139.8,1339121,5997,1345118
44.225.42.84,4560,4007,8567
20.189.173.3,15820,8934,24754
192.168.2.68,192.168.2.1,770,0,770
20.189.173.5,8623,8295,16918
17.188.182.4,7993,1215,9208
54.235.104.230,43631,37146,80777
172.224.91.13,192.168.2.68,0,140,140
74.125.0.105,9313,6299,15612
74.125.0.106,9458,6148,15606
140.82.114.25,9806,10423,20229
184.26.197.208,631672,8159,639831
17.253.3.202,12010,4253,16263
52.71.220.158,3168770,2919719,6088489
192.168.2.1,4286696,963453,5250149
34.107.204.85,156611,90472,247083
224.0.0.251,0,1187470,1187470
17.248.202.64,218524,105929,324453
17.248.202.65,66683,63920,130603
162.159.196.66,22757,12157,34914
17.248.202.66,112993,74026,187019
172.67.69.61,385563,184561,570124
17.156.129.37,9582,2225,11807
13.107.246.35,1223044,54278,1277322
104.26.7.37,22173,14389,36562
172.66.0.227,7235,4905,12140
15.223.126.254,6805,5199,12004
173.194.133.103,65396943,921569,66318512
184.31.24.117,538593,3333,541926
34.160.144.191,22867,7302,30169
31.13.80.36,86348,11848,98196
162.159.134.234,5795,4032,9827
3.162.3.5,6511,1880,8391
63.140.38.248,16578,46427,63005
52.109.16.83,20954,5261,26215
20.190.135.3,21790,8392,30182
20.190.135.4,19797,8066,27863
20.190.139.168,6393,7639,14032
140.82.114.3,442898,28389,471287
173.194.55.41,63690949,1022442,64713391
140.82.114.5,14980,7692,22672
34.120.195.249,53749,677649,731398
35.185.44.232,96894,6874,103768
ff02::1,0,1032,1032
17.253.97.207,123571,8045,131616
ff02::2,0,1470,1470
216.239.32.178,6542,3238,9780
23.192.30.102,69501,9493,78994
104.18.35.233,160364,19692,180056
66.33.60.34,11413,26589,38002
66.33.60.35,9452,20256,29708
63.140.39.68,6318,5630,11948
40.79.173.41,8588,32504,41092
34.107.221.82,6954,8379,15333
192.168.2.11,36341,0,36341
132.206.27.28,63850,39687,103537
13.107.136.10,4797397,1200808,5998205
172.64.68.64,16181,8209,24390
127.0.0.1,3245178,3081190,6326368
23.192.28.213,8506,2063,10569
172.64.68.66,5242,6155,11397
104.86.97.28,4249808,16167,4265975
17.57.144.11,56985,66094,123079
17.23.112.11,106600,67383,173983
20.190.139.174,39344,34158,73502
192.168.2.19,111563,0,111563
13.33.67.9,128787,24066,152853
52.109.13.127,9048,17285,26333
149.112.121.10,1640222,2115961,3756183
192.168.2.1,192.168.2.68,0,770,770
52.109.0.127,14574,2726,17300
63.140.39.78,32288,12055,44343
3.162.3.55,6971,2008,8979
1.1.1.1,1536768,1536884,3073652
52.96.245.248,54,78,132
40.126.29.7,28491,7426,35917
192.168.2.25,136331,0,136331
34.36.58.112,3678205,32822,3711027
23.214.73.104,213045,40022,253067
172.64.147.122,5940,4538,10478
51.105.71.136,8658,8222,16880
23.43.243.136,32448,10680,43128
23.43.243.138,13362,5595,18957
132.216.98.55,7401,3345,10746
104.26.1.151,56062,21210,77272
3.95.129.122,812598,14685521,15498119
172.64.149.54,7470,6854,14324
fe80::b45e:77ff:fe4a:114e,32457,0,32457
184.150.37.140,9530195,151502,9681697
184.150.37.141,134498622,2935146,137433768
35.244.181.201,11220,5458,16678
52.102.112.3,13016,9908,22924
52.111.236.3,12021,2323,14344
127.0.0.1,127.0.0.1,37560,37560,75120
23.43.243.146,10346,4321,14667
66.33.60.66,885509,68299,953808
172.217.165.10,22868,36209,59077
35.190.72.216,6187,3493,9680
172.217.165.14,2110936,3700493,5811429
151.101.124.157,163252,6011,169263
192.168.2.45,50015,0,50015
151.101.124.158,354,261,615
151.101.124.159,1617,1479,3096
192.168.2.47,75683,402,76085
192.168.2.48,127931,0,127931
23.49.95.239,20766,10595,31361
52.54.213.109,6496,4748,11244
23.51.57.212,13086,3262,16348
17.33.193.247,11665,2715,14380
52.200.179.149,10994977,21484553,32479530
23.43.243.153,63645,23371,87016
23.43.243.155,15446,5385,20831
3.33.235.18,48207,49741,97948
172.217.165.22,474,669,1143
192.168.2.50,115308,0,115308
3.162.3.88,6639,1942,8581
184.150.168.238,44154737,466446,44621183
132.206.11.25,16274,15530,31804
76.76.21.142,1109619,168897,1278516
fe80::8411:eff:fe30:1993,52057,0,52057
17.188.182.196,8190,1503,9693
13.33.25.86,40626,4703,45329
52.123.128.14,64805,3003,67808
fe80::8011:94ff:febf:5417,39845,0,39845
184.24.168.241,28509,5250,33759
23.58.191.18,8795,6949,15744
23.43.243.161,21321,7411,28732
52.109.16.112,36165,69043,105208
184.150.168.240,2697059,16575,2713634
184.150.168.241,1191862,8051,1199913
17.253.125.201,69217,4473,73690
23.43.243.168,7532,2065,9597
17.253.125.203,94675,4871,99546
17.253.125.205,68480,21201,89681
192.168.2.62,32932,0,32932
198.169.2.193,4852607,212816,5065423
203.22.241.16,370646,46352,416998
203.22.241.18,514604,125656,640260
192.168.2.67,72753,0,72753
192.168.2.68,119994551,747873499,867868050
52.108.8.12,13523,2658,16181
15.157.113.30,7567,11176,18743
23.11.208.235,116880,6200,123080
239.255.255.250,0,3499803,3499803
185.199.109.133,82412,28847,111259
52.111.229.43,7652,2604,10256
fe80::7ee2:7729:8c4c:2919,43342,0,43342
fe80::80f8:c9ff:fe28:c48d,180,0,180
75.101.227.240,1797139,244376,2041515
74.125.156.135,24420549,579350,24999899
142.251.32.65,462242,38180,500422
